75	341 3   19369337
75	1251    3	19369454
75	165 3	19369533
75	1345    3	19369648
75	767 3	19369765
75	2472    3	19369863
75	32  3	19369933
75	1379    3	19369998
75	6618    3	19370095
75	950 3	19370202
75	286 3	19370359
75	8661    3	19370513
75	2532    3	19370682
75	6611    3	19370748
75	1247    3	19370880
75	157 3	19371031
75	8586    3	19371113
75	3703    3	19371218
75	9136    3	19371359
75	910 3   19371531
75	5856    3	19371710
75	5974    3	19371847
75	567 3	19372018
75	8908    3	19372104
75	8729    3	19372251
75	1029    3	19372418
75	1104    3	19372579
75	1853    3	19372702
75	155 3	19372788
75	2272    3	19372851
75	9155    3	19372967
75	1121    3	19373125
75	106 3	19373249
75	2725    3	19373417
75	4680    3	19373525
75	6761    3	19373643
75	5607    3	19373706
75	2351    3	19373803
78	1163    3	18066047
78	262 3	18066156
78	700 3	18066323
78	1065    3	18066416
78	4660    3	18066509
78	3930    3	18066588
78	1047    3	18066695
78	2465    3	18066789
78	6018    3	18066917
78	5414    3	18067066
78	5559    3	18067208
78	6331    3	18067311
78	2762    3	18067486
78	3742    3	18067569
78	5877    3	18067742
78	1037    3	18067877
78	704 3   18068039
